text,label
Nothing seems to matter anymore. #188669,sadness
This is so gross I can't handle it. #354694,disgust
I'm so scared right now. #654799,fear
Life is beautiful and I'm enjoying every moment. #195820,joy
I miss the good times we had. #378319,sadness
This makes my blood boil. #395965,anger
I can't believe this happened! #387200,anger
I feel sick just thinking about it. #102220,disgust
I'm terrified of what might happen. #370590,fear
I can't stop smiling. #518838,joy
That totally caught me off guard. #916906,surprise
Every little sound makes me jump. #857375,fear
This is the best day of my life. #144746,joy
I feel empty inside. #867937,sadness
I'm so furious about the situation. #512397,anger
It's incredibly disturbing. #52433,disgust
I'm so thrilled about the news. #222101,joy
It's incredibly disturbing. #98970,disgust
I can't sleep because of the fear. #930598,fear
That totally caught me off guard. #905826,surprise
I'm so furious about the situation. #593208,anger
Life is beautiful and I'm enjoying every moment. #758392,joy
I'm bursting with happiness! #661113,joy
I feel sick just thinking about it. #536882,disgust
It's incredibly disturbing. #528094,disgust
My heart aches with sorrow. #634134,sadness
I can't believe this happened! #823807,anger
This is absolutely infuriating! #938576,anger
This is the best day of my life. #286258,joy
I'm so furious about the situation. #670837,anger
I can't believe this happened! #981143,anger
I'm disgusted by what I saw. #985204,disgust
Nothing seems to matter anymore. #185608,sadness
Nothing seems to matter anymore. #140336,sadness
I'm disgusted by what I saw. #148339,disgust
My heart aches with sorrow. #11656,sadness
This is so gross I can't handle it. #260968,disgust
This gives me chills down my spine. #210776,fear
I can't believe this happened! #9128,anger
Every little sound makes me jump. #481052,fear
That was utterly revolting. #583158,disgust
I’m shocked and amazed! #687415,surprise
I'm bursting with happiness! #93388,joy
Tears keep falling from my eyes. #354774,sadness
I can't sleep because of the fear. #340650,fear
My heart aches with sorrow. #360426,sadness
How could they do this to me? #281031,anger
"Unbelievable, but true! #749126",surprise
I'm bursting with happiness! #50443,joy
My heart aches with sorrow. #599919,sadness
I did not see that coming! #791393,surprise
I'm terrified of what might happen. #180420,fear
Nothing seems to matter anymore. #204918,sadness
I did not see that coming! #587157,surprise
I miss the good times we had. #91321,sadness
I'm so thrilled about the news. #323365,joy
I'm disgusted by what I saw. #764746,disgust
I feel sick just thinking about it. #814384,disgust
I can't sleep because of the fear. #977915,fear
I feel sick just thinking about it. #730519,disgust
"Unbelievable, but true! #836258",surprise
I feel empty inside. #261838,sadness
I’m shocked and amazed! #466995,surprise
I miss the good times we had. #81333,sadness
I feel sick just thinking about it. #38833,disgust
I'm so furious about the situation. #252695,anger
This is so gross I can't handle it. #363953,disgust
That totally caught me off guard. #264566,surprise
I can't sleep because of the fear. #726006,fear
That was utterly revolting. #574157,disgust
I feel empty inside. #240440,sadness
I'm bursting with happiness! #704097,joy
What a pleasant surprise! #803916,surprise
My heart aches with sorrow. #427331,sadness
This gives me chills down my spine. #890277,fear
I’m shocked and amazed! #561276,surprise
I'm bursting with happiness! #351281,joy
This is absolutely infuriating! #535293,anger
I'm so furious about the situation. #262926,anger
I can't stop smiling. #101486,joy
I can't stop smiling. #755712,joy
Every little sound makes me jump. #663110,fear
I did not see that coming! #451736,surprise
That was utterly revolting. #893652,disgust
Life is beautiful and I'm enjoying every moment. #984698,joy
I'm bursting with happiness! #908940,joy
I feel sick just thinking about it. #36037,disgust
I'm so scared right now. #965366,fear
I feel empty inside. #273618,sadness
This is so gross I can't handle it. #693484,disgust
This gives me chills down my spine. #244931,fear
How could they do this to me? #57997,anger
I'm disgusted by what I saw. #139993,disgust
I’m shocked and amazed! #231998,surprise
This is absolutely infuriating! #218794,anger
I miss the good times we had. #810145,sadness
"Unbelievable, but true! #156442",surprise
Life is beautiful and I'm enjoying every moment. #50708,joy
Life is beautiful and I'm enjoying every moment. #522747,joy
I'm bursting with happiness! #354389,joy
"Unbelievable, but true! #854592",surprise
I'm bursting with happiness! #111773,joy
I feel sick just thinking about it. #646268,disgust
I’m shocked and amazed! #37165,surprise
What a pleasant surprise! #638966,surprise
I miss the good times we had. #286054,sadness
I'm disgusted by what I saw. #448569,disgust
This makes my blood boil. #446035,anger
"Unbelievable, but true! #550215",surprise
I can't believe this happened! #756891,anger
I can't believe this happened! #377696,anger
This gives me chills down my spine. #724554,fear
This gives me chills down my spine. #71302,fear
That was utterly revolting. #56068,disgust
I feel empty inside. #676000,sadness
Life is beautiful and I'm enjoying every moment. #608026,joy
I'm so thrilled about the news. #468167,joy
How could they do this to me? #185477,anger
I'm bursting with happiness! #88789,joy
Tears keep falling from my eyes. #463923,sadness
I feel empty inside. #450321,sadness
My heart aches with sorrow. #899546,sadness
What a pleasant surprise! #63225,surprise
I did not see that coming! #418146,surprise
How could they do this to me? #233862,anger
I'm disgusted by what I saw. #316767,disgust
I feel sick just thinking about it. #398471,disgust
This makes my blood boil. #6132,anger
I'm bursting with happiness! #749990,joy
That was utterly revolting. #484224,disgust
I can't sleep because of the fear. #462815,fear
I'm disgusted by what I saw. #317833,disgust
I'm bursting with happiness! #628543,joy
This is so gross I can't handle it. #337006,disgust
I'm bursting with happiness! #809932,joy
I can't sleep because of the fear. #337493,fear
My heart aches with sorrow. #508843,sadness
My heart aches with sorrow. #463075,sadness
I'm so scared right now. #62237,fear
